typ;otazka;obrazek;moznost_a;moznost_b;moznost_c;moznost_d;spravna;alt_odpovedi;tolerance;body
abcd;Vlajka kterého státu je na obrázku?;vlajka01.png;Rumunsko;Čad;Andorra;Moldavsko;B;;;
abcd;Komu patří tato vlajka?;vlajka02.png;Indonésie;Polsko;Monako;Singapur;C;;;
abcd;Vlajka kterého státu je na obrázku?;vlajka03.png;Nizozemsko;Lucembursko;Rusko;Paraguay;B;;;
abcd;Kterému státu patří tato trikolóra?;vlajka04.png;Irsko;Itálie;Pobřeží slonoviny;Maďarsko;C;;;
abcd;Vlajka kterého státu je na obrázku?;vlajka05.png;Slovensko;Rusko;Slovinsko;Srbsko;C;;;
abcd;Komu patří tato vlajka s Jižním křížem?;vlajka06.png;Austrálie;Nový Zéland;Fidži;Cookovy ostrovy;B;;;
abcd;Vlajka kterého státu je na obrázku?;vlajka07.png;Norsko;Island;Faerské ostrovy;Finsko;B;;;
abcd;Kterému africkému státu patří tato vlajka?;vlajka08.png;Senegal;Guinea;Mali;Benin;C;;;
abcd;Komu patří tato vlajka?;vlajka09.png;Bahrajn;Kuvajt;Omán;Katar;D;;;
abcd;Vlajka kterého státu je na obrázku? (Pozor, špek!);vlajka10.png;Haiti;Nizozemsko;Lichtenštejnsko;Lucembursko;C;;;2
